#,utterance_id,translation,asl_gloss,negative,wh_question,yes_no_question,topic_focus,conditional_when,role_shift,head_pos_tilt_fr_bk,head_pos_turn,head_pose_tilt_side,head_pose_jut,head_mvmt_nod,head_mvmt_nod_cycles,head_mvmt_shake,head_mvmt_side_to_side,head_mvmt_jut,body_lean,shoulders,face_eye_brows,face_eye_gaze,face_eye_aperture,face_nose,face_mouth,face_cheeks
1379830,844457,"When my friend goes out fishing, the fish has to go in the bucket immediately so it will be fresh.","#WHEN;POSS-1p;FRIEND;SCL:X""catch fish"";(1h)FISH;IX-1p;MUST;fs-BUCKET;ICL:B-L""bring over bucket"";SCL:1""throw fish in bucket"";FIRST;FAST_3;#FRESH;A-OK;FINE+",,,,,,,slightly back;slightly back;front;slightly front;back,,slightly left;further left,back;forward;forward;slightly forward;slightly forward,,,,,,slightly forward;forward,,raised;raised;lowered;slightly raised,,slightly squinted;wide;blink;wide;blink;wide;slightly squinted;blink;squint;blink;squint;blink;slightly squinted;blink;slightly wide;wide;blink;lowered lid,,blow;open & tense;open;lips pursed: mm;open,
1379830,844458,"If Bob is surprised at his surprise party, it is commendable because it is difficult to surprise Bob.",#IF;ns-fs-BOB;IX-loc:i;MAKE-IT;SURPRISE;POSS-2p;SURPRISE;(P)PARTY;WOW+;IX-1p;APPLAUSE;POSS-1p;FRIEND;IX-loc:j;(25)WHY;IX-3p:i;ns-fs-BOB;IX-loc:i;HARD;SURPRISE;HARD,,,,,,,slightly back;further back;slightly front;slightly back;slightly back,,slightly left;left;slightly right;slightly right;slightly left;slightly left,slightly back;slightly forward;forward;slightly back;slightly forward;slightly forward,,,slight rapid head shake;slight rapid head shake,,,,,slightly raised;raised;lowered;raised;lowered;slightly lowered,left,lowered lid;blink;wide;further lowered;slightly wide;blink;closed;slightly squinted;slightly wide;wide;blink;slightly squinted;blink;slightly lowered;slightly wide;wide;blink;lowered lid,tensed;tensed;tensed;slightly tensed,lips spread & crnrs down;lips pursed: mm;open & round;lips pursed: mm;open;blow;blow;lips pursed: mm,puffed
1379830,843950,"If my friend is driving, I sleep in the back seat.","#IF;POSS-1p;FRIEND;IX-3p:i;DRIVE;IX-1p;FUTURE;SLEEP;BACK;SIT;SCL:crvd-U""laying on side""",,,,,,,slightly back,,left;slightly right,,single;single,,,,,back/right;back/left,right/raised,raised,,wide;blink;wide;wider;blink;slightly lowered;lowered lid;blink,,lips pursed: mm,
1379830,843443,Why does your friend love travelling?,"POSS-2p;FRIEND;LOVE;TRIP;5""pay attention"";(25)WHY;(1h)part:indef",,whq,,topic,,,back;slightly back,,left;further left,slightly forward;slightly forward;slightly forward,,,slight rapid head shake,,,slightly back,,raised;slightly raised;raised;lowered;slightly lowered,,slightly wide;wide;blink;lowered lid;slightly wide;squint,tensed,open & tongue visible,
1379830,842935,Where do you work?,IX-2p;WORK;WHERE,,whq,,,,,back;slightly front,,,forward,,,slight rapid head shake,,,,,lowered;slightly lowered,,blink;slightly squinted;squint,,open;lips pursed: oo,
1379830,842428,Who is driving?,CAR;WHO;part:indef;(1h)part:indef,,whq,,,,,,,left,slightly forward;forward,,,,,,slightly forward,,slightly lowered;lowered;slightly lowered,,blink;squint;further squinted,,lips pursed: oo,
1379830,842429,Where is your friend driving to?,FRIEND;CAR;WHERE;(1h)part:indef,,whq,,topic,,,slightly back;slightly front,,slightly left,slightly forward,,,rapid,,,,,raised;lowered;slightly lowered,,wide;lowered lid;slightly lowered,,lips pursed: oo,
1379830,841922,When do you graduate?,FINISH;GRADUATE;#HS,,,,,,,slightly front,,slightly left,,,,,,,,,raised;lowered,,slightly wide;lowered lid;slightly lowered,,lips spread & crnrs down,
1379830,841415,My friend is calling home on the video phone.,FRIEND;NOW;IX-3p:i;#VP;HOME;CHAT+++,,,,topic;sentence-initial adverb,,,slightly back;slightly back,,slightly left,slightly forward,,,,,,,,slightly raised,,blink;slightly wide;wide;blink;slightly lowered;blink;lowered lid,,lips pursed: mm,
1379830,845777,My friend prefers video phone over texting because he can use ASL.,POSS-1p;FRIEND;FAVORITE/PREFER;#VP;TEXTING_3;(1h)FORGET-IT;(25)WHY;CAN;USE-SIGN-LANGUAGE;#ASL,,,,topic,,,slightly back;slightly back;slightly front;slightly front,,slightly left;slightly left;slightly right;slightly left,slightly forward;slightly back,single;single,,slight rapid head shake,,,,,slightly raised;slightly lowered;lowered;raised;slightly lowered,,blink;slightly lowered;blink;squint;blink;further squinted;blink;wide;blink;slightly lowered,wrinkle,tongue on lwr lip,
1379830,845269,My friend has to drive because I`m exhausted.,FRIEND;MUST;DRIVE;(25)WHY;IX-1p;TIRED;IX-1p,,,,topic,,,slightly back;slightly back,,slightly left;right,slightly forward,slight single head nod;slight single head nod,,single,,,,,raised;slightly raised;slightly lowered;slightly raised;slightly lowered,,blink;slightly lowered;blink;slightly lowered;lowered lid;wide;blink;further squinted;blink;squint,,open & tongue visible;open & round,
1379830,845270,My friend is going out to a party.,FRIEND;GO-OUT;(25)WHY;IX-loc:i;GO-OUT;(P)PARTY+;GROUP/TOGETHER,,,,,,,slightly back;slightly back;slightly back,,slightly right;slightly right,,,,slight rapid head shake,,,,,slightly raised;raised;slightly lowered,,slightly lowered;slightly wide;wide;blink;lowered lid;blink;lowered lid,,lips spread & crnrs down;lips spread & crnrs down,
1379830,844762,"If my friend goes travelling, I just have to join.",#IF;IX-3p:i;FRIEND;GO-OUT;TRIP;IX-1p;MUST;JOIN;BUOY,,,,,,,slightly back;slightly back,,slightly right;slightly right,slightly back;slightly forward,slight single head nod,,,,,,,slightly raised;lowered,left,slightly wide;wide;blink;squint;slightly squinted;blink;slightly lowered;blink;slightly wide;slightly squinted,tensed,lips spread & crnrs down;lips pursed: mm,
1379830,844763,"When we arrive in India, I have to send my family a postcard thanking them for support.",#WHEN;IX-1p-pl-arc;ARRIVE;ns-INDIA;IX-loc:i;MUST;1p-SEND/MAIL:j;FAMILY;PAPER-CHECK/CARD;THANK-YOU+;FOR;SUPPORT+,,,,,,,slightly front,,slightly left;left,slightly back;slightly back;slightly forward,single;single;single;single,,,,,forward,,slightly raised;raised;slightly raised,left,lowered lid;wide;blink;slightly wide;blink;slightly lowered;blink;slightly wide;wide;blink;lowered lid;wide;closed;slightly lowered,,open & tense;open & tongue visible;lips spread;lips pursed: mm,
1379830,844254,"If I arrive at work late, my boss will undoubtedly fire me.",#IF;IX-1p;ARRIVE;WORK;fs-LATE;WOW+;BOSS;FUTURE;STOP;FIRED;IX-1p;WOW,,,,,,,slightly back;slightly front,,slightly right;slightly right;right;left,slightly back;forward,,,,,,slightly back;back/left,,raised-furrowed,,blink;wide;blink;squint;blink;further lowered;blink;lowered lid;closed;slightly wide,wrinkle,lips pursed: oo;bite lower lip;intense,
1379830,844255,"If my boss summons me, everyone will know I`m in trouble.","#IF;POSS-1p;BOSS;IX-loc:i;SUMMON;IX-1p;5""listen up"";GUARANTEE;EACH+ONE-pl-arc;EACH+ONE-pl-arc;DCL:4""many people look at me"";KNOW-THAT;IX-1p;IN;TROUBLE",,,,,,,back;slightly front;slightly front,,left;slightly left;slightly left;left,forward;slightly forward;forward,,,,,,,,further lowered;raised,,further squinted;blink;slightly squinted;blink;slightly squinted;wide;blink;lowered lid;blink;slightly wide;further lowered;slightly lowered;blink;lowered lid,,lips pursed: oo;tongue on lwr lip,
1379830,843747,Where is the video phone that you want?,IX-2p;WANT_2;#VP;WHERE;(1h)part:indef,,whq,,,,,,,,,single,,slight rapid head shake,,,,,slightly raised;slightly lowered,,blink;wide;slightly lowered,,open & round,
1379830,843239,What time is the surprise party?,SURPRISE;(P)PARTY+;IX-loc:i;TIME;START;part:indef,,whq,,topic,,,slightly back;back,,,slightly forward;forward,slight rapid head nod,,slight rapid head shake,,,slightly forward,,raised;slightly lowered;lowered,,wide;blink;wider;blink;squint;blink;squint;slightly squinted,,tongue out;open & round,
1379830,843240,Which high school did you go to?,#HS;IX-2p;GO-OUT;WHERE;IX-2p,,whq,,topic,,,slightly back,slightly right,,,single,,slight rapid head shake,,,,,raised;lowered;slightly lowered,,lowered lid;slightly wide;blink;lowered lid;slightly lowered;blink,,open & round,
1379830,842732,What kind of a party is it?,(P)PARTY+;(1h)DO-DO;KIND;(1h)DO-DO,,whq,,,,,slightly back,,,slightly forward,,,slight rapid head shake,,,,,further lowered,,blink;slightly squinted;further squinted;blink,wrinkle,lips spread & crnrs down;open & round,
1379830,842733,When do you start work?,IX-2p;START;WORK;IX-2p;#WHEN,,whq,,,,,further back;front,,slightly left,slightly forward,,,,,,,,slightly raised;lowered,,slightly wide;squint,,lips pursed: oo,
1379830,842226,Does your friend really love surfing the internet?,FRIEND;LOVE;SURF-INTERNET;REALLY+WORK+;REALLY+WORK+;QMwg,,,,,,,front;front,,left;slightly left,forward,single;single,,,,,,,raised,,blink;further lowered;blink;slightly squinted,,bite lower lip;intense,
1379830,841719,Do you have to work all night?,IX-2p;MUST;WORK;ALL-NIGHT;IX-2p,,,,,,,front,slightly right,left,forward,,,,,,,,raised,,squint;slightly squinted,,open & tongue visible,
1379830,841720,"Is it fun going fishing with your friends? (starts out signing ""fishing"" but repairs to ""friend"")",FRIEND;DEPART;FISHING;fs-FUN;QMwg,,,,,,,slightly back;slightly back;front,,slightly left,slightly forward,slight single head nod,,,,,,,slightly raised;raised;further raised,,blink;slightly lowered;wide,,open & tongue visible,
1379830,841212,Now I am studying to go to school.,NOW;IX-1p;STUDY;GO-OUT;SCHOOL+,,,,sentence-initial adverb,,,,slightly left,slightly left,slightly forward,,,,,,,,,,wide;blink;slightly lowered;blink;slightly lowered;lowered lid;slightly lowered,,lips pursed: mm,
1379830,841213,My friend travels.,FRIEND;GO-OUT;TRIP,,,,,,,slightly back;slightly back,,slightly left;slightly left,slightly forward;slightly forward,,,,,,,,,,slightly lowered;blink;lowered lid,,lips pursed: mm;tongue out,
1379835,7982081,Should I buy shorts?,IX-1p;MUST;BUY;SHORTS+,,,,,,,front,,slightly right,,,,,,forward,,,further raised,,slightly squinted;wide,,,
1379835,7982082,Does my sister want a headband for her birthday?,QMwg;IX-1p;SISTER;IX-loc:i;WANT_2;HEADBAND;POSS-3p:i;BIRTHDAY_3;IX-3p:i,,,,,,,front,,right,forward;slightly forward;forward,,,,,,,,further raised,,slightly wide;wide,,,
1379835,7983362,Did dad mow the lawn?,FATHER+;FINISH;MOW+;GRASS,,,,,,,front,,right,forward,,,,,forward,,,raised,,wide,,,
1379835,7983363,My aunt makes the best blueberry pie.,AUNT;MAKE;THUMBS-UP/GOOD;BLUE;PIE;BLUE+BERRY;BLUE+BERRY;PIE,,,,topic,,,front;front;front,left,slightly right,,,,,,forward,,,raised;slightly raised,watch hands,wide;closed;blink;wide;lowered lid;wide,,,
1379835,7984644,I invited my friends to a barbeque party.,IX-1p+++;INVITE/HIRE;FRIEND;#BBQ;(P)PARTY;GROUP/TOGETHER,,,,,,,slightly back,,slightly right;slightly right,forward,,,,,forward,,,,,,,,
1379835,7985928,Father is mowing the grass.,FATHER+;MOW+;GRASS,,,,topic,,,,,slightly right,,,,,,,,,raised,,wide,,,
1379835,7987212,Is the library closed?,LIBRARY;CLOSE-DOOR,,,,,,,front,,slightly right,,,,,,forward,,,raised,,wide,,,
1379835,7987213,Is it raining outside?,GO-OUT+;RAIN++,,,,,,,slightly front;front,,slightly right,,,,,,forward,,,raised-furrowed,,wide,,,
1379835,79791123,My friend went ahead and hosted a pizza dinner because he loves pizza.,FRIEND;PROCEED;TAKE-UP;PIZZA_4;EAT+NIGHT+;EAT+NIGHT+;(25)WHY;SELF-3p+:i;KISS-FIST;(5)CRAZY;PIZZA_4;BUOY,,,,,,,,right;slightly left,slightly right;slightly right;slightly left,forward,,,slow,,,,,raised;lowered;raised;lowered,other,slightly squinted;squint;squint;closed,,,
1379835,79801108,I commute to work by bike because I can't afford a car.,IX-1p;COMMUTE;WORK;BICYCLE;WHY;IX-1p;CANNOT;BILL/OWE;CAR;part:indef,negation,,,,,,slightly back,slightly left,right,,,,slight rapid head shake,,forward;forward,,,slightly raised;lowered,,slightly lowered;blink;slightly wide;slightly squinted;further lowered;wide;lowered lid,,,
1379835,7981589,Did my friend go ahead with crashing the party?,FRIEND;PROCEED;(5)CRASH;(P)PARTY,,,,,,,front,slightly left,slightly right,,,,,,forward;forward,,,raised,,slightly squinted,,,
1379835,7982870,Are the clothes on sale?,DRESS/CLOTHES;IX-loc:i;#SALE,,,,,,,front,left,slightly right,forward;further forward,,,,,,,,further raised,,wide,,,
1379835,7984151,I moved out of San Diego.,"IX-1p;ns-#SD;(1h)5""whoa"";IX-1p;MOVE-AWAY;(1h)5""whoa""",,,,topic,,,slightly back,,right;slightly right,,,,,,,,,slightly raised,,slightly squinted;blink;blink,,,
1379835,7985435,The horses played on the farm.,HORSE;PLAY;FLAT/FLOOR;FARM+,,,,topic,,,further back,,right,,,,,,back;forward,,,slightly raised;slightly lowered,,slightly lowered;squint;further lowered;blink;lowered lid,,,
1379835,7986719,"Did I buy the book yet? No, I will buy it tomorrow.",IX-1p;FINISH;BUY;BOOK;NOT-YET;FUTURE;BUY;TOMORROW,negation,,,,,,slightly front;back,,slightly right,,,,slight slow head shake,,forward,,,raised;lowered;slightly lowered,,wide;blink;lowered lid;blink;further lowered,,,
1379835,798759,"When my computer breaks down and I don't know what to do, I'll ask someone for help.",TAPE-RECORDING;HIT;BREAK-DOWN;part:indef;IX-1p;(1h)REMIND:i;HELP+,,,,,,,slightly front;slightly back,slightly right;slightly left,,,,,slight rapid head shake,,forward;slightly back,,,slightly lowered;raised,down/right;down;left,slightly wide;wider,,,
1379835,7981095,Mom is sick because she recently took care of her sick friend.,MOTHER+;SICK;WHY;RECENT-PAST;FINISH;KEEP+;SICK;FRIEND;i:TURN:j,,,,,,,slightly back;slightly front;slightly back,,slightly right,,,,slight rapid head shake;slight single head shake,,forward,,,raised;lowered;slightly lowered,,squint;further squinted;further lowered;wide;further squinted;further lowered;squint;squint;further lowered,,,
1379835,7981096,Father must mow the lawn soon because we are having a barbeque party.,FATHER;MUST;MOW;GRASS;SOON;(25)WHY;TAKE-UP;#BBQ;GROUP/TOGETHER;SOON++,,,,,,,slightly back;slightly front,,slightly right,,,,single;slight single head shake,,slightly forward;forward;further forward;slightly back,,,lowered;further lowered;raised;slightly lowered,,wide;blink;blink;further squinted;blink;wide;slightly lowered;slightly squinted;further lowered;slightly squinted,,,
1379835,7982377,Is playing frisbee fun?,PLAY;FRISBEE;FUN,,,,topic,,,slightly back;front,,right,forward;forward,,,,,,,,raised,,lowered lid;wide,,,
1379835,7982378,Should I host a barbeque party?,IX-1p+;PROCEED;TAKE-UP;#BBQ;GROUP/TOGETHER,,,,,,,slightly front,,slightly right,,,,,,forward,,,raised,,wide,,,
1379835,7983658,Did Bob give the rose to his sweetheart?,ns-fs-BOB;FINISH;(2h)GIVE:i;(R)FLOWER;POSS-3p:i;SWEETHEART,,,,,,,front,slightly left,right,,,,,,forward,,,raised,,wide,,,
1379835,7984940,I commute to work by bike.,IX-1p+;COMMUTE;BICYCLE;WORK+,,,,topic,,,back,,slightly right,,,,,,slightly back,,,slightly raised,,slightly lowered;blink,,,
1379835,798767,"If it's raining tomorrow, I'll stay home.","RAIN;TOMORROW;(1h)5""whoa"";IX-1p;(1h)STAY;HOME;(1h)5""whoa""",,,,,,,slightly back,,slightly right,,,,,,forward;back;forward,,,raised;slightly lowered,,wide;lowered lid,,,
1379835,798768,"Once I finish work, I'm going home.",IX-1p;FINISH;WORK+;IX-1p;DEPART:j;HOME,,,,,,,slightly back,slightly right;left,right,,,,,,back,,,raised;lowered,down;down/right,wide;squint;blink;slightly lowered,,,
1379835,7986225,Bob read a book.,ns-fs-BOB;IX-loc:i;READ;BOOK,,,,topic,,,,,slightly right,,single;slight single head nod,,,,,,,raised;lowered,,slightly wide;squint,,,
1379835,7981884,Do you enjoy talking with them two?,IX-2p;(1h)TEND;CHAT;WITH;IX-pl-2:i/j,,,,,,,slightly front,,slightly right;right,forward,,,,,forward;slightly forward;slightly back,,,raised,,wide;slightly wide,,,
1379835,7981885,Did you already move to San Diego?,FINISH;MOVE-AWAY;ns-#SD;IX-2p,,,,,,,slightly front;slightly front,right,slightly right,,,,,,slightly forward,,,further raised,,slightly wide,,,
1379835,7983165,Is bad weather coming to Boston?,"BAD;(5)WEATHER;DCL:C""clouds moving in"";ns-BOSTON",,,,,,,front,,slightly right,slightly back;forward;forward,,,,,,,,right raised/left furrowed;raised,,wide,,,
1379835,7983166,Does your family go on vacation every year?,POSS-2p;FAMILY;(1h)TEND;EVERY-YEAR;VACATION+,,,,topic,,,back;front,,slightly right,,,,,,slightly forward;forward,,,raised,,slightly wide;further lowered;slightly wide,,,
1379835,7984447,I need to buy shorts.,IX-1p;MUST;BUY;SHORTS+,,,,,,,back,,slightly right,,,,,,back;forward,,,lowered,,squint;further lowered;slightly lowered,,,
1379835,7985731,Bad weather will come to Boston soon.,BAD;(5)WEATHER;SOON;GO;ns-BOSTON,,,,topic,,,slightly back;slightly back,,right,,,,single,,back,,,raised;raised-furrowed;further lowered;lowered,,slightly wide;further squinted;wide;further squinted;blink;further squinted;further lowered;further squinted,,,
1379835,7987015,Is the water cold?,WATER;COLD,,,,topic,,,slightly front,,slightly right,,,,slight single head shake,,forward,,,raised,,wide;blink;wide,,,
1379835,7981391,The students must learn to listen to the teacher because the teacher is in charge.,STUDENT;IX-loc-pl-arc;MUST;LEARN;HEAR/LISTEN;TEACH+AGENT;TEACH+AGENT;WHY;IX-3p:i;MANAGE/CONTROL,,,,topic,,,slightly back,,right;right,forward,,,slight rapid head shake,,forward;back;slightly forward;slightly back,,,raised;lowered;raised;slightly lowered,,wide;slightly squinted;blink;blink;slightly wide;wide;slightly squinted,,,
1379835,7982673,Do you know where to go?,IX-2p;KNOW;WHERE;(1h)GO;IX-2p,,,,,,,front,,slightly right,,,,,,slightly forward,,,raised,,wide,,,
1379835,7983954,My friends crashed the party.,FRIEND;IX-loc:i;(5)CRASH;(P)PARTY,,,,topic,,,slightly back,slightly right,slightly right,,,,,,slightly back,,,raised,,slightly wide;blink;blink;blink,,,
1379835,7986521,Where should the tree be? Next to the garage.,TREE;PUT;WHERE;GARAGE/SUBMARINE;IX-3p:i,,,,,,,back;back,,slightly right,,,,slight rapid head shake;single;slight rapid head shake,,forward;back,,,lowered;slightly lowered;lowered,,slightly squinted;wide;squint,,,
1379835,7986522,Bob sent a letter.,ns-fs-BOB;IX-loc:i;SEND;LETTER/MAIL,,,,topic,,,,,slightly right,,,,,,back,,,raised,,slightly wide,,,
1379835,7980898,I missed last months rent so now I have to pay double.,IX-1p+;MUST;(P)PAY;fs-RENT;TWICE;(25)WHY;PAST;ONE-MONTH;IX-1p;MISS/ASSUME;IX-1p,,,,sentence-initial adverb,,,front,,slightly right,,,,slight single head shake,,further forward;forward,,,lowered;lowered;raised;slightly raised,,further lowered;blink;blink;blink;wide;blink;wide,,,
1379835,7982180,Do I look good in this plaid shirt?,PLAID;(2h)SHIRT;FACE;(1h)GOOD/THANK-YOU;IX-1p,,,,,,,front,slightly left,right;right,back,,,,,,,,raised,,wide,,,
1379835,7983461,Is mom sick?,MOTHER;SICK+,,,,,,,back,,slightly right,forward,,,,,,,,raised,,wide,,,
1379835,7984742,Friends go together to the beach to lay out in the sun and tan.,"FRIEND;GROUP/TOGETHER;DCL:crvd-5""group go together"";fs-BEACH;DCL:U/H""group laying down to tan"";SUNSHINE;TAN",,,,topic,,,slightly back;further back,slightly left,slightly right,,single,,,,back;back,,,raised,,lowered lid,,,
1379835,7984743,Friends play frisbee.,FRIEND;PLAY;FRISBEE,,,,topic,,,slightly back,,slightly right,,,,,,forward;forward,,,slightly raised,,,,,
1379835,7986027,Mom is sick.,MOTHER+;SICK,,,,topic,,,slightly back,,right,,,,,,,,,raised;further lowered,,slightly wide;further lowered;squint,,,
1379835,7987311,Did you buy a book?,IX-2p;FINISH;BUY;BOOK;IX-2p,,,,,,,front,,slightly right,,,,,,forward,,,raised,,wide,,,
1379835,7981687,Was I passed out drunk last night?,IX-1p;LIE-DOWN;DRUNK;PAST+NIGHT;PAST+NIGHT,,,,,,,slightly front,right,slightly right,,,,,,forward;slightly back;slightly forward,,,raised,,wide;squint;further lowered;wide,,,
1379835,7981688,Will you host a pizza dinner?,FUTURE;TAKE-UP;PIZZA_4;EAT+NIGHT+;EAT+NIGHT+,,,,,,,front,,slightly right,,,,,,slightly forward;slightly forward,,,raised,,wide,,,
1379835,7982968,Did Bob arrive at the post office?,ns-fs-BOB;FINISH;ARRIVE;#PO,,,,,,,front,,slightly right,,,,,,forward,,,raised,,wide,,,
1379835,7982969,Is that the only one horse playing on the farm?,ONLY;ONE;(2h)HORSE;PLAY;FLAT/FLOOR;FARM;QMwg,,,,,,,back;front,left,,forward;forward,,,,,,,,raised-furrowed;raised,,squint;wide;lowered lid;wide,,,
1379835,7984249,The bride and groom ended their wedding with a dance.,HUSBAND;WIFE;IX-3p:i;DANCE;SHUT;WEDDING,,,,topic,,,front;slightly back,slightly left,right;right,,single,,,,forward,,,raised;slightly lowered,,wide;slightly lowered,,,
1379835,79797114,My friend wants to buy a plaid shrit because his friend invited him to a costume party.,FRIEND;IX-loc:i;WANT_2;BUY;PLAID;(2h)SHIRT;(25)WHY;OTHER;FRIEND;INVITE/HIRE;FOR;DRESS/CLOTHES+;(P)PARTY,,,,,,,slightly back;front;back,,slightly right;slightly right;right;slightly right,slightly forward,,,rapid,,,,,raised;raised,other,squint;wide;slightly lowered,,,
1379835,7984250,I enjoyed talking with the two of them.,IX-1p;ENJOY;CHAT;WITH;IX-pl-2+:i/j,,,,,,,slightly back,slightly right,slightly left,,slight single head nod,,,,slightly back,,,slightly lowered,,closed;slightly lowered;blink;slightly lowered,,,
1379835,79797115,I need to buy shorts because it's hot outside.,IX-1p;MUST;BUY;SHORTS+;WHY;GO-OUT+;(Y)WOW;HOT,,,,sentence-initial adverb,,,slightly back;slightly back,,slightly right;slightly left,back;forward;slightly back,,,,,,,,further lowered;lowered;raised,,further squinted;further lowered;slightly squinted;squint;wide;blink;blink,,,
1379835,79807100,My family vacation every year is in Florida because everyone loves the sun.,POSS-1p;FAMILY;VACATION;GROUP/TOGETHER;EVERY-YEAR;WHERE;IX-3p:i;ns-#FLA;WHY;EACH+ONE;EACH+ONE;KISS-FIST;SUNSHINE,,,,,,,back;front;slightly back,,slightly right,,,,slight rapid head shake;slight rapid head shake,,slightly forward;forward,,,raised;further raised;raised,,slightly lowered;slightly squinted;blink;wide;lowered lid;slightly wide;further lowered;blink,,,
1379835,7985533,Bob has a big dog.,ns-fs-BOB;IX-loc:i;HAVE;WIDE;DOG,,,,topic,,,slightly front,further right,left,,,,single,,,,,raised;further lowered,,wide;further squinted;closed;squint,,,
1379835,7985534,Bob went to the post office.,ns-fs-BOB;IX-loc:i;GO;#PO,,,,topic,,,back,,slightly right,,,,,,forward,,,raised,,slightly lowered,,,
1379835,7986817,Was the movie good? Yes it was wonderful.,MOVIE_2;(1h)GOOD/THANK-YOU;YES+;WONDERFUL,,,,,,,,left,slightly right,,,,single,,forward,,,raised;lowered,,wide;further lowered;blink;further lowered;blink,,,
1379835,7986818,"Is it raining outside? No, it's beautiful and warm outside.",GO-OUT;RAIN;GO-OUT;(Y)WOW;BEAUTIFUL;AND;WARM,negation,,,,,,front;back,,slightly right,,,,slight rapid head shake,,forward,,,raised;further lowered;lowered,,wide;further lowered;blink;blink;slightly squinted,,,
1379835,7981194,The teacher must clean the classroom everyday so that when the students come to class it will be clean.,TEACH+AGENT;TEACH+AGENT;IX-loc:i;MUST;NICE/CLEAN;CLASS_2+BOX/ROOM;CLASS_2+BOX/ROOM;EVERYDAY;WHY;STUDENT;GO;CLASS_2;IX-3p-pl-arc;NICE/CLEAN,,,,focus,,,back,,slightly right;slightly right,,,,,,slightly back;forward;forward;forward,,,slightly lowered;slightly lowered;lowered;raised;raised,down/left,slightly squinted;slightly squinted;blink;squint;wide;slightly squinted,,,
1379835,7982476,Is it healthy to lay out and tan?,LIE-DOWN;SUNSHINE;TAN;BRAVE/RECOVER,,,,topic,,,further back;further front,,left,,,,,,back;forward,,,slightly raised;raised;further raised;raised-furrowed,,lowered lid;slightly wide;further lowered;wide,,,
1379835,7983756,Did Bob send the letter?,ns-fs-BOB;IX-loc:i;FINISH;SEND;LETTER/MAIL+,,,,,,,further front,,right,,,,,,forward,,,raised,,wide,,,
1379835,7983757,Did the students really listen to the teacher?,STUDENT;REALLY+WORK;REALLY+WORK;HEAR/LISTEN;TEACH+AGENT;TEACH+AGENT,,,,,,,,,right,,,,,,forward,,,raised,,wide,,,
1379835,7985038,I am introducing you to a new friend.,INTRODUCE;NEW;FRIEND;IX-3p:i,,,,,,,back,,right,,single,,,,back;back,,,slightly lowered,,slightly lowered;slightly squinted,,,
1379835,7985039,Ask for directions. Where do I go?,ASK;DIRECT/EXPLAIN+;TRACE-PATH;WHERE;#GO;(1h)part:indef,,whq,,,,,back,,slightly right,,,,,,forward,,,lowered,other,squint,,,
1379835,79796116,My sister wants a headband for her birthday because her hair is long and she wants a headband to keep it in place.,"POSS-1p;SISTER;WANT_2;HEADBAND;FOR;POSS-3p:i;BIRTHDAY_3;WHY;HAIR;DCL:5""long hair"";HEADBAND",,,,,,,back,,slightly right;slightly right,forward;forward,,,,,,,,lowered;slightly raised,,lowered lid;slightly squinted;blink;slightly wide;further lowered;squint;wide;blink;blink,,,
1379835,7986324,Bob frequently gives his sweetheart roses.,ns-fs-BOB;j:GIVE:i;SWEETHEART;(R)FLOWER;j:GIVE+:i;IX-3p:i,,,,topic;focus,,,back,slightly left,slightly right,,,,,,back;forward,,,raised;raised,to addressee,slightly wide;squint;slightly wide;slightly lowered,,,
1379835,79806101,Bob has a big dog because he loves to wrestle with it.,"ns-fs-BOB;IX-loc:i;HAVE;WIDE;DOG;WHY;IX-3p:i;LOVE;WRESTLE;DCL:5""roughhouse""",,,,topic,,,slightly back;slightly front;slightly front,,slightly right;slightly right,,,,single;slight rapid head shake;rapid,,slightly back;forward,,,raised;further lowered;raised;further lowered,,further squinted;blink;further squinted;blink;squint;lowered lid;blink;further squinted,,,
1379835,7981983,Did the bride and groom like their wedding?,HUSBAND;WIFE;LIKE;POSS-3p:i;WEDDING;BUOY,,,,,,,front,slightly left,slightly right,,single;slight single head nod;single,,,,forward;forward,,,slightly raised;raised,,wide,,,
1379835,7983264,Did I already pay the rent?,IX-1p;FINISH;(P)PAY;EVERY-MONTH/RENT+,,,,,,,slightly back,,slightly right,,,,,,back;forward,,,lowered;slightly raised,,blink;slightly squinted;wide,,,
1379835,7984545,My sister went water tubing.,"POSS-1p;SISTER;GO;WATER+DCL:crvd-L""water tubing"";WATER+DCL:crvd-L""water tubing""",,,,,,,slightly back;back,,slightly right,,single,,,,back,,,slightly lowered,,slightly squinted;slightly lowered,,,
1379835,7984546,My friend wanted to buy a plaid shirt.,FRIEND;IX-loc:i;WANT_2;BUY;PLAID;(2h)SHIRT,,,,,,,back,slightly left,right,,slight rapid head nod,,,,back;back;forward,,,,other,slightly squinted,,,
1379835,7985829,My aunt is making blueberry pie.,AUNT;IX-loc:i;MAKE+;BLUE+BERRY;BLUE+BERRY;PIE,,,,topic,,,back,,slightly right,,,,,,,,,raised;slightly lowered,,slightly wide;squint,,,
1379835,7985830,I need to pay rent.,IX-1p;MUST+;(P)PAY;EVERY-MONTH/RENT++,,,,,,,back,,,,,,,,back,,,lowered,,blink;squint;blink;slightly squinted;further lowered,,,
1379835,7987114,Did Donna give you the money?,IX-3p:i;ns-fs-DONNA;FINISH;i:GIVE-2p;MONEY+,,,,,,,slightly front,,slightly right,,,,,,forward,,,raised,,wide,,,
