asl_gloss,count,raised,lowered,slightly lowered,slightly raised,raised-furrowed,further raised,further lowered,right raised/left furrowed,left raised/right furrowed,left raised/right lowered,further raised-furrowed
TYPE,7,3,1,4,1,1,0,0,0,0,0,0
LATE,7,4,3,2,2,0,0,1,0,0,0,0
BOSS,7,3,1,4,1,1,2,1,0,0,0,0
SIT,7,5,2,1,1,2,0,3,0,0,0,0
LETTER/MAIL_2,7,5,4,1,2,3,2,0,0,0,0,0
HARD,7,6,5,3,2,2,0,1,0,0,0,0
BIRTHDAY,7,7,1,0,6,1,1,1,0,0,0,0
(5)ACCIDENT,7,8,3,5,1,1,0,0,0,0,0,0
APPLAUSE,7,7,4,1,5,0,1,1,0,0,0,0
BIRTHDAY_3,7,2,5,1,1,1,2,1,0,0,0,0
LIE-DOWN,7,5,1,1,4,1,1,0,0,0,0,0
HUSBAND,7,3,1,4,3,1,0,2,0,0,0,0
INTRODUCE,7,5,1,5,4,1,0,0,0,0,0,0
PICK/CHOOSE,7,9,5,6,4,3,2,0,0,0,0,0
ALONE,7,4,6,3,0,1,0,2,0,0,0,0
WARN,7,2,1,0,0,7,4,0,0,0,0,0
5umm,7,0,1,3,2,7,4,0,0,0,0,0
IX-loc:k,7,6,3,1,2,4,3,1,0,0,0,0
TAKE,7,1,2,4,7,2,0,0,0,0,0,0
BPCL:1voice loop from mouth to ear,7,6,0,0,5,14,2,0,0,0,0,0
GONE,7,4,2,3,1,3,0,0,0,0,0,0
MISMATCH,7,9,1,1,6,11,1,2,0,0,0,0
SPECIAL/EXCEPT,7,9,2,3,3,3,1,0,0,0,0,0
LECTURE,7,4,6,3,2,4,1,3,0,0,0,0
BROTHER,7,5,3,4,4,0,0,0,0,0,0,0
LIE,7,4,3,2,0,0,1,2,0,0,0,0
SEVEN,7,3,4,4,3,1,0,0,1,0,0,0
UNCLE,7,7,3,4,1,1,1,1,0,0,0,0
SIX,7,3,0,2,1,1,1,1,0,0,0,0
DRY-CEREAL,7,1,3,3,0,0,0,0,0,0,0,0
EARLY_2,7,5,2,4,6,0,0,0,0,0,0,0
TOOTH/GLASS,7,13,2,5,7,0,2,3,0,0,0,0
fs-LOTTERY,6,6,1,1,6,0,0,0,1,0,0,0
(5)SOCIAL/INTERACT,6,3,2,1,1,2,0,0,0,0,0,0
UMBRELLA,6,5,0,0,1,0,0,0,0,0,0,0
QUIZ,6,5,0,4,4,0,0,0,0,0,0,0
VEGETABLEAGENT,6,6,2,0,0,0,0,0,0,0,0,0
fs-AT,6,7,2,3,4,3,4,1,0,0,0,0
LATER_2,6,5,1,1,2,1,1,0,0,0,0,0
MUSIC,6,2,3,1,5,3,2,1,0,1,0,0
SOMETIMES,6,3,0,0,0,6,3,0,0,0,0,0
FINE_2,6,6,1,1,1,7,2,1,0,0,0,0
IX-loc-pl-arc,6,4,5,3,3,6,4,3,0,0,0,0
NOISERUMBLE,6,8,0,0,0,14,4,0,0,0,0,0
POINT,6,5,1,0,0,8,3,0,0,0,0,0
DCL:5hair dyed all over,6,4,1,2,1,1,3,0,0,0,0,0
ROOMMATE,6,3,3,2,1,0,2,2,1,0,0,0
COOKIE,6,4,1,1,1,2,3,1,0,0,0,0
UPSET,6,2,3,2,1,0,2,1,0,0,0,0
TV,6,4,4,3,4,2,0,0,0,0,0,0
FINALLY_2,6,6,1,2,3,0,1,3,0,0,1,0
SKI,6,3,2,0,1,2,4,1,0,0,0,0
BALD,6,4,1,0,2,2,3,2,0,0,0,0
FISH,6,8,4,3,4,0,0,0,0,0,0,0
FACESAME,6,4,2,0,0,2,0,2,0,0,0,0
PASS-OUT_2,6,4,1,3,1,2,0,0,0,0,0,0
fs-BRIDE,6,6,3,0,7,0,0,0,0,0,0,0
fs-GROOM,6,6,3,0,7,0,0,0,0,0,0,0
HONEST,6,5,2,3,4,0,0,0,0,0,1,0
ns-fs-JESSICA,6,5,1,2,4,1,1,0,0,0,0,0
GIRLCORRECT,6,8,2,0,4,0,2,2,0,0,0,0
HEADBAND,6,1,5,1,2,1,2,0,0,0,0,0
GRASS,6,6,1,2,0,0,1,1,0,0,0,0
BLUEBERRY,6,8,2,2,2,0,0,0,0,0,0,0
BBQ,6,2,4,3,1,0,0,2,0,0,0,0
IX-pl-2:i/j,6,4,1,3,1,0,0,1,0,0,0,0
WIDE,6,8,0,0,0,1,0,4,0,0,0,0
WONDERFUL,6,5,3,1,2,0,1,0,0,0,0,0
STARBOMB,6,0,4,2,0,0,0,0,0,0,0,0
SLOW,6,5,2,0,0,8,0,0,0,0,0,0
REQUIRE,6,5,0,0,0,2,0,0,0,0,0,0
IMPORTANT,6,3,4,0,4,1,1,1,0,0,0,0
AFRAID,6,3,1,3,2,2,0,4,0,0,0,0
ABOVE,6,1,0,1,1,8,2,0,0,0,0,0
ALMOST,6,1,2,5,1,1,0,0,0,0,0,0
fs-SENSORY,6,0,4,0,0,4,4,3,0,0,0,0
fs-TRUCK,6,5,3,2,3,0,0,0,0,0,0,0
fs-PUPPIES,6,9,1,2,2,0,0,1,0,0,0,0
(nd-3)THIRD-IN-LIST,6,8,3,2,2,0,0,0,0,0,0,0
QUALITY,6,5,0,0,0,6,1,0,0,0,0,0
FAST,6,4,4,3,1,0,1,0,0,0,0,0
CONCEPT,6,2,2,0,1,8,1,1,0,0,0,0
ns-NEW-YORK,6,1,0,3,2,2,3,0,0,0,0,0
ANYWAY/NOT-MATTER,6,4,4,4,2,0,5,1,0,0,0,0
BLACK,6,5,4,2,0,2,2,0,0,0,0,0
GROW,6,2,0,0,0,5,0,0,0,0,0,0
PASS,6,4,3,1,2,0,0,1,0,0,0,0
SUNBATHE,6,4,2,0,4,2,0,0,0,0,0,0
LEAVE,6,3,3,1,3,0,0,0,0,0,0,0
JOB,6,3,2,6,2,0,0,2,0,0,0,0
NOT-MIND,6,3,6,2,0,1,3,3,0,0,0,0
NONE/NOTHINGONE,6,2,2,4,0,0,4,0,0,0,0,0
BUTTER,6,3,4,0,0,3,4,4,0,0,0,0
SERVICE,6,4,5,1,0,3,2,3,0,0,0,0
ANYONE,6,4,4,2,0,2,0,0,0,0,0,0
BRING,6,5,3,4,3,2,1,0,0,0,0,0
IMPOSSIBLE,5,4,0,1,3,2,0,1,0,0,0,0
HIT,5,1,0,3,3,0,0,0,1,0,0,0
FOR-FOR,5,0,1,3,1,0,0,2,0,0,0,0
fs-CEREAL,5,2,3,2,1,1,0,2,0,0,0,0
SAFE,5,3,0,1,0,2,1,0,0,0,0,0
BETWEEN/SHARE,5,1,2,1,0,2,2,1,0,0,0,0
POLITE,5,1,1,0,0,4,1,0,0,0,0,0
NOTICE,5,7,1,1,3,4,0,2,0,0,0,0
PLUS,5,3,1,2,3,4,4,0,0,0,0,0
BRAVE/RECOVER,5,3,3,0,4,6,4,0,0,0,0,0
5surprised,5,0,1,0,4,6,2,0,0,0,0,0
(A)SELF-1p,5,2,0,1,2,6,2,1,0,0,0,0
LESS,5,1,3,0,1,6,3,2,0,0,0,0
PERMIT,5,5,1,0,0,8,3,1,0,0,0,0
ICL:F/9flip pages,5,3,0,0,0,2,6,0,0,0,0,0
CLEAR,5,3,1,2,1,2,0,0,0,0,0,0
PUT,5,2,4,2,2,2,2,0,0,0,0,0
CROWDED,5,4,2,3,3,1,1,2,0,0,0,0
5out of my control,5,2,3,2,1,1,1,1,0,0,0,0
ANY,5,3,2,0,2,4,2,0,0,0,0,0
ns-CHICAGO,5,3,2,1,0,0,2,1,0,0,0,0
LAUGH-HARD,5,6,0,0,1,8,0,0,0,0,0,0
EASY,5,3,1,1,2,1,0,0,0,0,0,0
DCLround flat,5,4,5,2,2,1,0,1,0,1,0,0
(crvd-5)POSS-1p,5,6,3,1,0,1,1,0,0,0,0,0
FIREWORKS,5,6,2,1,4,0,0,0,0,0,0,0
(1)SEND,5,1,4,2,1,1,1,0,0,0,0,0
HEADBAND_2,5,5,0,0,5,1,1,1,0,0,0,0
REMEMBER,5,6,2,3,4,0,0,0,0,0,0,0
LOOK-FORWARD,5,4,1,3,4,0,0,0,0,0,0,0
IX-1p-pl-2:i,5,6,1,1,2,0,0,0,1,0,0,0
FIRST,5,4,3,3,10,1,0,0,0,0,0,0
A-OK,5,5,2,1,2,1,0,4,0,0,0,0
USE-SIGN-LANGUAGE,5,7,4,8,2,0,0,0,1,0,0,0
SWEETHEART,5,5,1,1,0,1,0,0,0,0,0,0
SUNSHINE,5,5,0,0,2,2,2,0,0,0,0,0
j:GIVE:i,5,7,2,0,2,1,0,0,0,0,0,0
EVERY-MONTH/RENT,5,0,3,1,1,0,0,1,0,0,0,0
COMPETITION,5,7,2,4,1,2,0,0,0,0,0,0
EXPENSIVE_2,5,6,4,3,2,0,1,0,0,0,0,0
PAPER,5,4,0,0,0,6,1,1,0,0,0,0
THEN,5,2,1,3,3,2,1,0,0,0,0,0
fs-BY,5,2,3,0,1,7,4,0,0,0,0,0
DROP,5,6,0,0,1,2,0,1,0,0,0,0
RANGE,5,0,0,0,0,5,7,0,0,0,0,0
5you see,5,3,3,4,1,2,2,0,0,0,0,0
FATHERwg,5,3,4,1,3,0,1,0,0,0,0,0
SCL:3person walking,5,1,1,1,2,1,1,0,0,0,0,0
fs-BONFIRE,5,2,1,0,5,0,1,0,0,0,0,0
fs-NASAL,5,5,3,0,2,0,1,0,0,0,0,0
THAN,5,3,1,3,2,3,0,0,1,0,0,0
EXPRESS,5,1,0,1,1,1,0,0,0,0,0,0
EQUAL,5,2,2,6,2,1,0,0,0,0,0,0
FAMOUS,5,2,1,0,2,1,1,0,0,0,0,0
USE,5,1,2,0,0,2,1,0,0,0,0,0
fs-SO,5,0,1,0,3,2,0,0,0,0,0,0
ADULT-TALL,5,4,2,2,1,2,0,1,0,0,0,0
5looking for words,5,4,3,3,3,4,0,0,0,0,0,0
LOOK-UP,5,1,2,1,1,2,0,0,0,0,0,0
SHORT-HEIGHT,5,3,1,0,4,1,1,1,0,0,0,0
fs-EXCESS,5,2,3,2,0,7,1,1,0,0,0,0
DEEP,5,6,6,6,0,1,0,3,3,0,0,0
GESTURE,5,2,8,5,0,3,0,3,0,0,0,0
LIST,5,5,1,2,1,5,3,0,0,0,0,0
(D)DOCTOR,5,4,2,5,6,0,0,1,0,0,0,0
RED,5,5,1,3,1,0,0,1,0,0,0,0
WAIT,5,4,3,1,3,0,0,2,0,0,0,0
TABLE,5,1,3,0,1,1,0,3,0,0,0,0
MAGAZINE,5,4,0,1,0,0,1,0,0,0,0,0
BIG_2,5,3,4,1,1,1,0,1,0,0,0,0
ns-fs-SUE,5,1,1,2,0,1,2,0,0,0,0,0
TELL:j,5,4,4,2,0,0,3,2,0,0,0,0
READ_2,5,4,1,2,1,1,1,0,0,0,0,0
SUPERIOR,5,3,0,0,0,11,6,1,0,0,0,0
FIREWORKS_2,5,7,2,0,0,1,0,0,0,0,0,0
TASTE,5,2,3,1,0,0,0,2,0,0,0,0
ns-ROCHESTER,5,1,1,2,6,0,0,0,0,0,0,0
fs-MENTOR,5,6,4,3,6,1,2,1,0,0,0,0
BELIEVE,5,3,1,0,1,1,1,1,0,0,0,0
TURKEY,5,2,3,0,0,1,0,0,0,0,0,0
NEAR,4,3,1,3,2,0,0,0,0,0,0,0
HUNGRY/WISH,4,2,1,2,1,0,0,1,0,0,0,0
RELATIONSHIP-OFF,4,2,2,3,1,1,0,0,0,0,0,0
fs-BAGEL,4,4,1,3,0,1,4,1,0,0,0,0
fs-CODA,4,1,1,1,0,3,2,0,0,0,0,0
MINUTE,4,4,5,2,3,2,0,0,0,0,0,0
DCL:5emit waste,4,3,1,1,0,6,3,0,0,0,0,0
alt.SCREAM,4,2,2,0,0,8,5,2,0,0,0,0
BETWEEN/SHARE-arc,4,0,0,0,0,8,2,0,0,0,0,0
fs-TESTIMONIES,4,0,0,0,0,3,0,0,0,0,0,0
DISGUST,4,2,1,2,0,0,1,1,0,0,1,0
TELL,4,4,3,1,0,4,4,0,0,0,0,0
TELL-1p,4,4,3,2,1,2,4,2,0,0,0,0
(crvd-5)BASKETBALL,4,4,2,1,0,6,3,1,0,0,0,0
DCL:1point and shoot,4,0,0,0,0,4,10,3,0,0,0,0
DCL:crvd-5reach into bucket of popcorn,4,4,1,0,0,4,9,0,0,0,0,0
NOTMUST,4,0,0,0,0,2,2,0,0,0,0,0
FOOTBALL,4,1,2,0,0,2,4,5,0,0,0,0
Scheering,4,0,4,0,0,4,6,6,0,0,0,0
CHANGE,4,2,0,5,2,2,0,0,0,0,0,0
POSS-3p:j,4,2,1,1,1,3,0,0,0,0,0,0
APPLY,4,2,1,0,1,3,0,0,0,0,0,0
SHH,4,4,2,0,1,4,5,2,0,0,0,0
THINKHOPE,4,4,0,0,0,8,2,0,0,0,0,0
MARRY,4,1,0,1,1,2,1,0,0,0,0,0
i:HELP-1p,4,2,0,0,2,2,2,0,0,0,0,0
SUCCEED,4,4,1,2,2,1,1,0,0,0,0,0
POSS-1p-pl,4,2,2,1,2,2,2,0,0,0,0,0
COMPARE,4,6,1,2,8,0,0,0,0,0,0,0
fs-LAKE,4,6,3,2,8,0,0,0,0,0,0,0
BOYSCOUT,4,4,4,4,6,0,0,2,0,0,0,0
TREE,4,0,4,2,2,0,0,0,0,0,0,0
ALARM,4,3,1,0,1,0,0,1,0,0,0,0
DELICIOUS,4,4,2,3,2,0,0,0,0,0,0,0
PAPER-CHECK/CARD,4,4,0,1,4,1,0,0,0,0,0,0
THANK-YOU,4,3,1,0,3,0,0,1,0,0,0,0
5no more,4,2,2,3,2,0,0,1,0,1,0,0
THIRTY_2,4,3,1,2,1,1,0,1,0,0,0,0
ns-fs-MAC,4,6,0,2,2,0,0,0,0,0,0,0
SLEEP,4,2,0,1,0,1,0,1,0,0,0,0
MORNING,4,1,0,0,3,0,0,0,1,0,0,0
ASL,4,4,2,3,4,0,0,0,0,0,0,0
TEXTING_3,4,4,2,3,1,0,2,0,0,0,0,0
MONSTER,4,4,1,4,2,0,0,0,0,0,0,0
i:GIVE-indef,4,5,0,1,1,1,0,0,0,0,0,0
DIRECT,4,3,1,1,1,1,0,1,0,0,0,0
5not a big deal,4,3,2,2,1,5,1,2,0,0,0,0
SCL:3person passed out,4,3,1,2,5,0,0,0,0,0,0,0
NOMORE,4,4,2,0,2,2,0,0,0,0,0,0
CALL-BY-PHONE,4,3,1,1,2,1,0,0,0,0,0,0
NOTHING,4,6,1,0,2,0,0,0,0,0,0,0
HELP,4,1,4,1,1,2,1,0,0,0,0,0
TAN,4,3,1,1,2,1,1,0,0,0,0,0
ns-FLA,4,8,0,1,2,0,2,0,0,0,0,0
WATERDCL:crvd-Lwater tubing,4,2,0,2,0,0,0,0,0,0,0,0
SKILL,4,3,1,2,1,1,0,1,0,0,0,0
(Y)DRINK,4,3,3,2,2,0,0,0,0,0,0,0
CLEVER,4,4,2,1,0,4,0,0,0,0,0,0
ADVISE/INFLUENCE,4,2,0,4,0,0,0,0,0,0,0,0
ANSWER,4,4,2,3,3,1,0,1,0,0,0,0
VOLUNTEER/SHIRT,4,3,2,4,1,2,0,0,0,0,0,0
REGULAR,4,2,0,1,0,3,0,0,0,0,0,0
WORK-OUT,4,1,2,0,1,4,0,0,0,0,0,0
OVER/AFTER,4,4,2,3,3,3,0,0,0,0,0,0
TAKE-BREAK,4,3,1,1,1,0,2,2,0,0,0,0
fs-AUDIOVOCAL,4,1,1,0,0,3,4,0,0,0,0,0
IX-loc-line,4,2,2,0,0,7,5,1,0,0,0,0
POLITICS,4,2,3,2,0,4,4,2,1,0,0,0
WONDER,4,2,0,1,1,0,0,0,0,0,0,0
GAS,4,4,2,2,0,0,0,1,0,1,0,0
FINISH-shake,4,4,0,0,1,0,1,1,0,0,0,0
MAKEREALLY,4,4,2,0,2,0,0,0,0,0,0,0
fs-TOO,4,1,4,2,3,2,1,0,0,0,0,0
HEARRUMBLE,4,8,2,0,4,0,0,0,0,0,0,0
DEVELOP,4,3,0,5,4,0,2,0,0,0,0,0
MESSED-UP,4,1,5,2,3,3,0,1,0,0,0,0
ANALYZE_3,4,0,4,0,0,1,0,1,0,0,0,0
HEAVY,4,2,0,0,1,5,1,1,0,0,0,0
5let's see,4,0,0,0,1,2,0,0,0,0,0,0
AGREE,4,3,1,2,0,0,0,0,0,0,0,0
SYSTEM,4,0,0,1,0,3,0,0,0,0,0,0
ADD-TO,4,5,2,0,0,1,0,0,0,0,0,0
SEARCH-FOR,4,1,0,1,1,2,0,0,0,0,0,0
(nd-2)FIRST-IN-LIST,4,3,2,1,0,0,0,0,0,0,0,0
BPCL:bent-Bgradually increasing voice,4,6,2,0,2,4,3,1,0,0,0,0
fs-LOCKERBOX/ROOM,4,2,2,0,2,4,2,0,0,0,0,0
IMAGINE,4,3,0,1,1,3,0,0,0,0,0,0
5dismissive gesture,4,3,3,7,1,1,0,1,1,0,0,0
VOICE_2,4,1,2,1,0,2,0,0,0,0,0,0
TEACH,4,3,2,1,1,1,0,0,0,0,0,0
AVERAGE/RANGE,4,0,2,2,0,1,2,0,0,0,0,0
(1)RANGE,4,6,2,2,2,0,1,1,0,0,0,0
SON,4,3,1,1,1,0,0,0,0,0,0,0
i:TELL-1p,4,3,2,3,0,0,1,1,0,0,0,0
fs-DAY,4,3,0,0,0,0,1,0,0,0,0,0
BUTTER_2,4,2,2,2,2,0,0,1,0,0,0,0
DRINK,4,2,1,0,0,0,1,1,0,0,0,0
WANT_3,4,1,1,0,2,0,0,0,0,0,0,0
EVERYONE,4,2,0,2,4,2,0,2,0,0,0,0
ANSWERAGENT,4,0,0,2,0,0,4,2,0,0,0,0
LEARNAGENT,4,4,0,0,2,0,0,0,0,0,0,0
NONE,4,4,0,0,1,0,0,0,0,0,0,0
fs-AUDIO,4,0,2,0,0,0,1,0,0,0,0,0
fs-VOCAL,4,0,2,0,0,0,1,0,0,0,0,0
INSTITUTE,4,0,0,1,0,1,1,0,0,0,0,0
WATCH-TV,4,6,2,1,3,0,0,0,0,0,0,0
CARE,4,3,1,3,1,2,2,1,0,0,0,0
NUT,4,0,5,0,1,3,0,3,0,0,0,0
THIS,4,2,2,2,0,0,0,0,0,0,0,0
CITY/COMMUNITY_3,4,2,3,0,0,0,0,1,1,0,0,0
BRACELET,4,6,5,5,3,0,0,0,0,0,0,0
ICE-CREAM,4,2,0,0,0,0,0,4,0,0,0,0
ONEHUNDRED,4,4,0,2,2,2,0,0,0,0,0,0
SICK-OF,4,3,3,2,1,0,0,0,0,0,0,0
WATERTUBING,4,6,2,2,4,0,0,0,0,0,0,0
EMPTY/EARLYMOST,4,2,4,0,2,2,0,0,0,0,0,0
FIND/FIND-OUTOUT,4,0,0,8,6,0,0,0,0,0,0,0
fs-CREAMfs-CHEESE,4,2,2,4,2,0,2,2,0,0,0,0
NOWNIGHT,4,4,0,0,0,0,0,2,0,0,0,0
TRY,4,3,3,2,2,2,1,3,0,0,0,0
ROAD,4,3,1,0,0,1,0,0,0,0,0,0
VERY,4,4,2,3,1,0,0,1,0,0,0,0
HAIRDYE,4,2,0,0,2,0,0,0,0,0,0,0
INFORM:i,4,1,2,4,3,0,0,0,0,0,0,0
fs-HIT,4,2,2,0,6,0,0,1,0,0,0,0
GRIEF,4,2,2,5,0,1,0,0,0,0,0,0
WATERDCL:L-Xtube skipping on water,4,4,4,2,4,0,2,0,0,0,0,0
(1)GUILTY,4,3,0,0,0,0,1,3,0,0,0,0
SEMESTER,3,3,1,2,2,0,0,1,0,0,0,0
fs-POP,3,1,0,2,2,0,0,0,0,0,0,0
SICK/SILLY,3,1,1,2,3,0,0,0,0,0,0,0
SO-SO,3,1,1,0,0,5,2,0,0,0,0,0
EACH,3,1,0,0,0,3,1,0,0,0,0,0
ABOVE_3,3,0,0,0,0,3,2,0,0,0,0,0
PISS-OFF,3,0,0,0,0,4,3,0,0,0,0,0
LEAVE-THERE,3,0,2,1,0,2,1,1,0,0,0,0
DCL:crvd-Babove the voice range,3,4,0,0,1,7,0,0,0,0,0,0
FULL,3,2,1,1,0,2,0,0,0,0,0,0
DCL:5extremely embarrassed,3,0,1,0,0,5,2,0,0,0,0,0
CARRY,3,0,1,0,0,4,0,0,0,0,0,0
fs-NOISE,3,1,2,0,0,6,4,0,0,0,0,0
THAT:j,3,1,2,1,0,3,1,0,0,0,0,0
ns-GALLAUDET,3,6,1,2,1,3,3,0,0,0,0,0
fs-BUBBLES,3,0,0,0,0,3,0,0,0,0,0,0
fs-SOUND,3,0,0,0,0,2,0,0,0,0,0,0
SELF-3p:j,3,2,1,0,2,1,2,0,0,0,0,0
fs-FIELD,3,1,1,0,2,0,1,3,0,0,0,0
KNOW-NOTHING,3,4,1,0,1,1,1,0,0,0,0,0
RULE,3,3,0,0,0,4,2,0,0,0,0,0
5pause,3,2,0,0,0,3,0,0,0,0,0,0
FROM-NOW-ON,3,1,0,1,2,1,0,0,0,0,0,0
FOLLOW,3,2,1,1,0,0,0,0,0,0,0,0
COOK/KITCHEN,3,2,1,1,1,1,0,0,0,0,0,0
ORANGE,3,2,1,1,0,0,1,0,0,0,0,0
fs-MALL,3,3,2,1,1,0,0,0,0,0,0,0
5resignation,3,1,0,1,0,0,0,0,0,0,0,0
ns-PHILADELPHIA,3,2,2,3,0,0,0,0,0,0,0,0
5hey,3,0,3,3,1,0,0,0,0,0,0,0
REMIND:i,3,2,0,2,1,1,0,0,0,0,0,0
ns-fs-ASIA,3,5,1,5,5,0,0,0,0,0,0,0
SEND/MAIL,3,4,0,0,2,1,1,0,0,0,0,0
fs-FUN,3,3,0,0,1,1,1,0,0,0,0,0
(5)POSS-1p,3,2,1,1,3,0,0,0,0,0,0,0
VERY-FAST,3,0,1,2,1,0,0,0,0,0,0,0
LIGHT,3,3,1,2,1,0,0,1,0,0,0,0
GLASSES_2,3,4,1,1,2,0,0,0,0,0,0,0
NEAT,3,3,0,1,2,0,1,0,0,0,0,0
FIRED,3,1,1,2,1,1,1,0,0,0,0,0
1p-INFORM:i,3,2,1,1,1,0,0,1,0,0,0,0
PRINCIPAL,3,2,2,1,1,1,0,2,0,0,0,0
HURRY,3,4,1,1,3,0,0,0,0,0,0,0
FUCK,3,3,1,0,1,0,0,0,0,0,0,0
DELIBERATE,3,4,2,3,2,1,1,1,1,0,0,0
SECOND-IN-LIST_4,3,3,1,1,0,2,0,0,0,0,0,0
MEMORIZE,3,5,2,3,4,0,0,2,0,0,0,0
SAME-OLD,3,3,1,1,1,2,1,1,0,0,0,0
REMIND-2p,3,3,2,0,3,0,0,0,0,0,0,0
BLUE,3,2,1,0,2,1,1,0,0,0,0,0
TAPE-RECORDING,3,2,1,1,1,1,0,0,0,0,0,0
DEPART:j,3,3,2,0,0,0,0,0,0,0,0,0
ONE-MONTH,3,3,3,1,1,0,0,1,0,0,0,0
SPREAD,3,5,2,0,1,0,1,1,0,0,0,0
BOMB,3,2,0,2,0,1,0,1,0,0,0,0
QUOTE/TOPIC_2,3,2,0,0,0,4,1,0,0,0,0,0
DCL:flat-Orip paper,3,3,0,0,0,6,0,0,0,0,0,0
A-LEVEL-BELOW,3,2,3,1,1,2,2,0,0,0,0,0
ILLEGAL,3,4,0,0,0,1,2,0,0,0,0,0
DCL:F/9peel styrofoam cup,3,2,0,0,0,5,5,0,0,0,0,0
APPLE,3,2,0,0,0,0,0,0,0,0,0,0
fs-CLUB,3,1,1,0,1,1,0,0,0,0,0,0
5frustration,3,2,2,1,1,0,0,0,0,0,0,0
AIRPLANE,3,3,0,2,2,0,0,0,0,0,0,0
SERIOUS,3,2,2,0,0,1,0,0,0,0,0,0
YESTERDAY,3,3,1,0,1,0,0,1,0,0,0,0
ACTAGENT,3,2,0,0,2,2,0,2,0,0,0,0
ANALYZE,3,0,1,1,0,0,0,1,0,0,0,0
MENTION,3,2,2,0,0,3,2,0,0,0,0,0
fs-TACTILE,3,0,0,0,0,4,3,0,0,0,0,0
LITTLE-BIT,3,1,1,2,1,1,1,0,0,0,0,0
COLOR,3,7,1,2,2,0,0,0,0,0,0,0
fs-LIT,3,1,3,1,1,1,0,1,0,0,0,0
fs-PITCHED,3,5,1,0,2,0,1,0,0,0,0,0
PET-PEEVE,3,4,0,0,2,1,2,0,0,0,0,0
(R)RESEARCH,3,3,0,0,0,6,0,0,0,0,0,0
SUGGEST,3,1,3,1,3,3,0,0,0,0,0,0
ns-fs-BAUMAN,3,1,0,0,1,4,1,0,0,0,0,0
BOTHER,3,1,0,1,0,1,2,0,0,0,0,0
ATTEMPT,3,3,0,0,1,4,1,0,0,0,0,0
alt.USE-SIGN-LANGUAGE,3,3,0,0,0,3,2,2,0,0,0,0
IX-loc:l,3,0,0,0,1,3,0,0,0,0,0,0
MIND,3,3,2,0,3,4,2,1,0,0,0,0
fs-CAREER,3,3,0,3,7,0,0,0,0,0,0,0
1focus,3,3,5,2,1,2,1,0,0,0,0,0
(3)LISTEN,3,2,3,1,1,4,1,0,0,0,0,0
TRAIN,3,1,1,2,0,1,1,0,0,0,0,0
TIME-PERIOD,3,3,1,2,0,0,0,0,0,0,0,0
LOOK-AROUND,3,0,0,0,2,3,1,0,0,0,0,0
ROLE,3,2,1,0,0,0,0,1,0,0,0,0
(P)PROFESSION,3,3,0,0,0,3,1,0,0,0,0,0
BPCL:bent-Bgoing over natural voice range,3,4,2,1,1,4,2,1,0,0,0,0
RUN-MACHINE,3,3,0,0,0,4,0,1,0,0,0,0
MUTE,3,9,0,0,0,3,0,0,0,0,0,0
POP-UP,3,2,1,1,0,1,1,0,0,0,0,0
HALL,3,3,3,0,3,6,0,0,0,0,0,0
GIRL,3,2,0,0,0,1,1,0,0,0,0,0
FIGHT,3,6,1,2,2,0,2,0,1,0,0,0
ICL:Sswinging tennis raquet,3,0,0,0,0,3,0,0,0,0,0,0
5forget it,3,1,5,2,1,1,0,1,0,0,0,0
A,3,2,0,0,0,5,3,1,0,0,0,0
STAND,3,2,0,0,2,0,0,0,0,0,0,0
SIT-continuative,3,3,2,0,3,0,0,1,0,0,0,0
NIGHT-pl-arc,3,4,0,0,0,0,0,1,0,0,0,0
SUMMER,3,3,0,0,0,1,1,0,0,0,0,0
5hands off,3,3,0,1,0,1,0,0,0,0,0,0
ns-fs-PETE,3,3,1,0,0,1,0,1,0,0,0,0
LAST-YEAR,3,2,1,1,0,0,0,0,0,0,0,0
RESTAURANT,3,3,2,2,0,0,0,1,0,0,0,0
fs-HEGEMONY,3,1,0,0,0,6,3,0,0,0,0,0
DCL:bent-1this pathway,3,0,0,0,0,4,0,2,0,0,0,0
(4)STRIPES,3,1,2,1,3,1,1,1,0,0,0,0
fs-SUN,3,5,1,1,2,1,1,0,0,0,0,0
KOWTOW,3,3,0,2,1,0,0,0,0,0,0,0
i:GIFT:j,3,4,0,2,0,0,0,0,0,0,0,0
SUSPECT,3,1,3,3,0,2,0,3,0,0,0,0
SOCIAL/INTERACT,3,2,1,1,2,0,3,2,0,0,0,0
NEXT,3,4,0,2,0,1,0,0,0,0,0,0
LINGUISTICS,3,2,1,2,1,1,0,0,0,0,0,0
ALLERGY,3,0,4,0,1,2,0,2,0,0,0,0
REPUBLICAN,3,2,0,3,1,2,0,0,0,0,0,0
AGAINST,3,3,1,2,1,3,1,1,0,0,0,0
NAB,3,3,3,1,4,0,0,2,0,0,1,0
fs-SPINACH,3,5,1,3,1,0,1,2,0,0,0,0
WALK,3,3,0,0,3,0,2,0,0,0,0,0
ARTICLE,3,2,2,0,1,0,1,0,0,0,0,0
(L-X)INTERESTING,3,2,2,5,1,0,0,0,0,0,0,0
GET-TICKET,3,2,1,0,3,0,0,0,0,0,0,0
BOOK-PAGE,3,1,2,1,0,0,0,1,0,0,0,0
HANDSOME/ns-HAWAII_2,3,2,1,0,0,0,2,2,0,0,0,0
ns-fs-PHIL,3,1,3,1,1,0,0,0,0,0,0,0
